,CODIGO,POBLACION,DEPARTAMENTO,PROVINCIA,LLAVE,CASOS POR PROVINCIA,PORCENTAJE_PROVINCIA,FALLECIDOS POR PROVINCIA,MORTALIDAD_PROVINCIA,FALLECIDOS_SINADEF,PORC_MUERTES_COVID
158,2004,162027,PIURA,MORROPON,PIURAMORROPON,3947,2.44,1134,28.73,2300,49.3
159,2005,129892,PIURA,PAITA,PIURAPAITA,7741,5.96,942,12.17,1492,63.14
160,2006,311454,PIURA,SULLANA,PIURASULLANA,17081,5.48,2240,13.11,4617,48.52
161,2007,144150,PIURA,TALARA,PIURATALARA,5546,3.85,1244,22.43,1515,82.11
162,2008,79177,PIURA,SECHURA,PIURASECHURA,2400,3.03,405,16.88,772,52.46
163,2101,219494,PUNO,PUNO,PUNOPUNO,13181,6.01,1303,9.89,2869,45.42
164,2102,110392,PUNO,AZANGARO,PUNOAZANGARO,1871,1.69,221,11.81,1190,18.57
165,2103,73322,PUNO,CARABAYA,PUNOCARABAYA,1567,2.14,116,7.4,470,24.68
166,2104,89002,PUNO,CHUCUITO,PUNOCHUCUITO,1467,1.65,171,11.66,716,23.88
167,2105,63878,PUNO,EL COLLAO,PUNOELCOLLAO,1152,1.8,195,16.93,900,21.67
168,2106,57651,PUNO,HUANCANE,PUNOHUANCANE,982,1.7,139,14.15,1101,12.62
169,2107,40856,PUNO,LAMPA,PUNOLAMPA,1344,3.29,109,8.11,462,23.59
170,2108,67138,PUNO,MELGAR,PUNOMELGAR,2041,3.04,181,8.87,863,20.97
171,2109,19753,PUNO,MOHO,PUNOMOHO,205,1.04,37,18.05,431,8.58
172,2110,36113,PUNO,SAN ANTONIO DE PUTINA,PUNOSANANTONIODEPUTINA,631,1.75,53,8.4,351,15.1
173,2111,307417,PUNO,SAN ROMAN,PUNOSANROMAN,11866,3.86,1288,10.85,3557,36.21
174,2112,50742,PUNO,SANDIA,PUNOSANDIA,674,1.33,87,12.91,379,22.96
175,2113,36939,PUNO,YUNGUYO,PUNOYUNGUYO,886,2.4,140,15.8,648,21.6
176,2201,122365,SAN MARTIN,MOYOBAMBA,SANMARTINMOYOBAMBA,8288,6.77,398,4.8,1030,38.64
177,2202,55033,SAN MARTIN,BELLAVISTA,SANMARTINBELLAVISTA,2023,3.68,191,9.44,420,45.48
178,2203,36752,SAN MARTIN,EL DORADO,SANMARTINELDORADO,2196,5.98,77,3.51,287,26.83
179,2204,27506,SAN MARTIN,HUALLAGA,SANMARTINHUALLAGA,1725,6.27,95,5.51,287,33.1
180,2205,81521,SAN MARTIN,LAMAS,SANMARTINLAMAS,3421,4.2,213,6.23,752,28.32
181,2206,64626,SAN MARTIN,MARISCAL CACERES,SANMARTINMARISCALCACERES,2606,4.03,275,10.55,602,45.68
182,2207,40545,SAN MARTIN,PICOTA,SANMARTINPICOTA,1766,4.36,151,8.55,335,45.07
183,2208,122544,SAN MARTIN,RIOJA,SANMARTINRIOJA,6066,4.95,306,5.04,1095,27.95
184,2209,193095,SAN MARTIN,SAN MARTIN,SANMARTINSANMARTIN,15530,8.04,1057,6.81,2092,50.53
185,2210,69394,SAN MARTIN,TOCACHE,SANMARTINTOCACHE,3931,5.66,203,5.16,521,38.96
186,2301,306363,TACNA,TACNA,TACNATACNA,27725,9.05,1867,6.73,2620,71.26
187,2302,6102,TACNA,CANDARAVE,TACNACANDARAVE,235,3.85,12,5.11,65,18.46
188,2303,10773,TACNA,JORGE BASADRE,TACNAJORGEBASADRE,863,8.01,34,3.94,73,46.58
189,2304,6094,TACNA,TARATA,TACNATARATA,256,4.2,27,10.55,82,32.93
190,2401,154962,TUMBES,TUMBES,TUMBESTUMBES,14459,9.33,1175,8.13,2265,51.88
191,2402,21057,TUMBES,CONTRALMIRANTE VILLAR,TUMBESCONTRALMIRANTEVILLAR,1026,4.87,132,12.87,252,52.38
192,2403,48844,TUMBES,ZARUMILLA,TUMBESZARUMILLA,2840,5.81,241,8.49,534,45.13
193,2501,384168,UCAYALI,CORONEL PORTILLO,UCAYALICORONELPORTILLO,26146,6.81,2785,10.65,4570,60.94
194,2502,49324,UCAYALI,ATALAYA,UCAYALIATALAYA,680,1.38,109,16.03,203,53.69
195,2503,60107,UCAYALI,PADRE ABAD,UCAYALIPADREABAD,2793,4.65,183,6.55,247,74.09
196,2504,2860,UCAYALI,PURUS,UCAYALIPURUS,433,15.14,6,1.39,12,50
